PatternID,SequenceID,Position
1,1,1651
1,1,48
2,1,1651
2,1,48
3,1,1651
3,1,48
4,1,1651
4,1,48
5,1,1651
5,1,48
6,1,1651
6,1,48
7,1,1651
7,1,48
8,1,1651
8,1,48
9,1,1651
9,1,48
10,1,1651
10,1,48
11,1,1651
11,1,48
12,1,1651
12,1,1652
12,1,48
12,1,49
13,1,1652
13,1,49
14,1,1652
14,1,49
15,1,1652
15,1,49
16,1,1652
16,1,49
17,1,1652
17,1,49
18,1,1652
18,1,49
19,1,1652
19,1,49
20,1,1652
20,1,49
21,1,1652
21,1,49
22,1,1652
22,1,49
23,1,1651
23,1,1652
23,1,1653
23,1,48
23,1,49
23,1,50
24,1,1653
24,1,50
25,1,1653
25,1,50
26,1,1653
26,1,50
27,1,1653
27,1,50
28,1,1653
28,1,50
29,1,1653
29,1,50
30,1,1653
30,1,50
31,1,1653
31,1,50
32,1,1653
32,1,50
33,1,1653
33,1,50
34,1,1651
34,1,1652
34,1,1653
34,1,1654
34,1,48
34,1,49
34,1,50
34,1,51
35,1,1654
35,1,51
36,1,1654
36,1,51
37,1,1654
37,1,51
38,1,1654
38,1,51
39,1,1654
39,1,51
40,1,1654
40,1,51
41,1,1654
41,1,51
42,1,1654
42,1,51
43,1,1654
43,1,51
44,1,1654
44,1,51
45,1,1651
45,1,1652
45,1,1653
45,1,1654
45,1,1655
45,1,48
45,1,49
45,1,50
45,1,51
45,1,52
46,1,1655
46,1,52
47,1,1655
47,1,52
48,1,1655
48,1,52
49,1,1655
49,1,52
50,1,1655
50,1,52
51,1,1655
51,1,52
52,1,1655
52,1,52
53,1,1655
53,1,52
54,1,1655
54,1,52
55,1,1655
55,1,52
56,1,1651
56,1,1652
56,1,1653
56,1,1654
56,1,1655
56,1,1656
56,1,48
56,1,49
56,1,50
56,1,51
56,1,52
56,1,53
57,1,1656
57,1,53
58,1,1656
58,1,53
59,1,1656
59,1,53
60,1,1656
60,1,53
61,1,1656
61,1,53
62,1,1656
62,1,53
63,1,1656
63,1,53
64,1,1656
64,1,53
65,1,1656
65,1,53
66,1,1656
66,1,53
67,1,1651
67,1,1652
67,1,1653
67,1,1654
67,1,1655
67,1,1656
67,1,1657
67,1,48
67,1,49
67,1,50
67,1,51
67,1,52
67,1,53
67,1,54
68,1,1657
68,1,54
69,1,1657
69,1,54
70,1,1657
70,1,54
71,1,1657
71,1,54
72,1,1657
72,1,54
73,1,1657
73,1,54
74,1,1657
74,1,54
75,1,1657
75,1,54
76,1,1657
76,1,54
77,1,1657
77,1,54
78,1,1465
78,1,1651
78,1,1652
78,1,1653
78,1,1654
78,1,1655
78,1,1656
78,1,1657
78,1,1658
78,1,48
78,1,49
78,1,50
78,1,51
78,1,52
78,1,53
78,1,54
78,1,55
79,1,1465
79,1,1658
79,1,55
80,1,1465
80,1,1658
80,1,55
81,1,1465
81,1,1658
81,1,55
82,1,1465
82,1,1658
82,1,55
83,1,1465
83,1,1658
83,1,55
84,1,1465
84,1,1658
84,1,55
85,1,1465
85,1,1658
85,1,55
86,1,1465
86,1,1658
86,1,55
87,1,1465
87,1,1658
87,1,55
88,1,1465
88,1,1658
88,1,55
89,1,1465
89,1,55
90,1,1465
90,1,55
91,1,1465
91,1,1466
91,1,1651
91,1,1652
91,1,1653
91,1,1654
91,1,1655
91,1,1656
91,1,1657
91,1,1658
91,1,1659
91,1,48
91,1,49
91,1,50
91,1,51
91,1,52
91,1,53
91,1,54
91,1,55
91,1,56
92,1,1466
92,1,1659
92,1,56
93,1,1466
93,1,1659
93,1,56
94,1,1466
94,1,1659
94,1,56
95,1,1466
95,1,1659
95,1,56
96,1,1466
96,1,1659
96,1,56
97,1,1466
97,1,1659
97,1,56
98,1,1466
98,1,1659
98,1,56
99,1,1466
99,1,1659
99,1,56
100,1,1466
100,1,1659
100,1,56
101,1,1466
101,1,1659
101,1,56
102,1,1466
102,1,56
103,1,1466
103,1,56
104,1,1465
104,1,1466
104,1,1467
104,1,1651
104,1,1652
104,1,1653
104,1,1654
104,1,1655
104,1,1656
104,1,1657
104,1,1658
104,1,1659
104,1,1660
104,1,48
104,1,49
104,1,50
104,1,51
104,1,52
104,1,53
104,1,54
104,1,55
104,1,56
104,1,57
105,1,1467
105,1,1660
105,1,57
106,1,1467
106,1,1660
106,1,57
107,1,1467
107,1,1660
107,1,57
108,1,1467
108,1,1660
108,1,57
109,1,1467
109,1,1660
109,1,57
110,1,1467
110,1,1660
110,1,57
111,1,1467
111,1,1660
111,1,57
112,1,1467
112,1,1660
112,1,57
113,1,1467
113,1,1660
113,1,57
114,1,1467
114,1,1660
114,1,57
115,1,1467
115,1,57
116,1,1467
116,1,57
117,1,1465
117,1,1466
117,1,1467
117,1,1468
117,1,1651
117,1,1652
117,1,1653
117,1,1654
117,1,1655
117,1,1656
117,1,1657
117,1,1658
117,1,1659
117,1,1660
117,1,1661
117,1,48
117,1,49
117,1,50
117,1,51
117,1,52
117,1,53
117,1,54
117,1,55
117,1,56
117,1,57
117,1,58
118,1,1468
118,1,1661
118,1,58
119,1,1468
119,1,1661
119,1,58
120,1,1468
120,1,1661
120,1,58
121,1,1468
121,1,1661
121,1,58
122,1,1468
122,1,1661
122,1,58
123,1,1468
123,1,1661
123,1,58
124,1,1468
124,1,1661
124,1,58
125,1,1468
125,1,1661
125,1,58
126,1,1468
126,1,1661
126,1,58
127,1,1468
127,1,1661
127,1,58
128,1,1468
128,1,58
129,1,1468
129,1,58
130,1,1401
130,1,1465
130,1,1466
130,1,1467
130,1,1468
130,1,1469
130,1,1651
130,1,1652
130,1,1653
130,1,1654
130,1,1655
130,1,1656
130,1,1657
130,1,1658
130,1,1659
130,1,1660
130,1,1661
130,1,1662
130,1,48
130,1,49
130,1,50
130,1,51
130,1,52
130,1,53
130,1,54
130,1,55
130,1,56
130,1,57
130,1,58
130,1,59
131,1,1401
131,1,1469
131,1,1662
131,1,59
132,1,1401
132,1,1469
132,1,1662
132,1,59
133,1,1401
133,1,1469
133,1,1662
133,1,59
134,1,1401
134,1,1469
134,1,1662
134,1,59
135,1,1401
135,1,1469
135,1,1662
135,1,59
136,1,1401
136,1,1469
136,1,1662
136,1,59
137,1,1401
137,1,1469
137,1,1662
137,1,59
138,1,1401
138,1,1469
138,1,1662
138,1,59
139,1,1401
139,1,1469
139,1,1662
139,1,59
140,1,1401
140,1,1469
140,1,1662
140,1,59
141,1,1401
141,1,1469
141,1,59
142,1,1401
142,1,1469
142,1,59
143,1,1401
143,1,1402
143,1,145
143,1,1465
143,1,1466
143,1,1467
143,1,1468
143,1,1469
143,1,1470
143,1,1651
143,1,1652
143,1,1653
143,1,1654
143,1,1655
143,1,1656
143,1,1657
143,1,1658
143,1,1659
143,1,1660
143,1,1661
143,1,1662
143,1,1663
143,1,48
143,1,49
143,1,50
143,1,51
143,1,52
143,1,53
143,1,54
143,1,55
143,1,56
143,1,57
143,1,58
143,1,59
143,1,60
144,1,1402
144,1,145
144,1,1470
144,1,1663
144,1,60
145,1,1402
145,1,145
145,1,1470
145,1,1663
145,1,60
146,1,1402
146,1,145
146,1,1470
146,1,1663
146,1,60
147,1,1402
147,1,145
147,1,1470
147,1,1663
147,1,60
148,1,1402
148,1,1470
148,1,1663
148,1,60
149,1,1402
149,1,1470
149,1,1663
149,1,60
150,1,1402
150,1,1470
150,1,1663
150,1,60
151,1,1402
151,1,1470
151,1,1663
151,1,60
152,1,1402
152,1,1470
152,1,1663
152,1,60
153,1,1402
153,1,1470
153,1,1663
153,1,60
154,1,1402
154,1,1470
154,1,60
155,1,1402
155,1,1470
155,1,60
156,1,1401
156,1,1402
156,1,1403
156,1,145
156,1,146
156,1,1465
156,1,1466
156,1,1467
156,1,1468
156,1,1469
156,1,1470
156,1,1471
156,1,1651
156,1,1652
156,1,1653
156,1,1654
156,1,1655
156,1,1656
156,1,1657
156,1,1658
156,1,1659
156,1,1660
156,1,1661
156,1,1662
156,1,1663
156,1,1664
156,1,48
156,1,49
156,1,50
156,1,51
156,1,52
