PatternID,SequenceID,Position
1,1,49
1,1,50
2,1,49
2,1,50
2,1,51
3,1,1652
3,1,49
3,1,50
3,1,51
3,1,52
4,1,1652
4,1,52
5,1,1652
5,1,52
6,1,1652
6,1,52
7,1,1652
7,1,52
8,1,1652
8,1,52
9,1,1652
9,1,52
10,1,1652
10,1,52
11,1,1652
11,1,52
12,1,1652
12,1,52
13,1,1652
13,1,52
14,1,1652
14,1,52
15,1,1652
15,1,52
16,1,1652
16,1,1653
16,1,49
16,1,50
16,1,51
16,1,52
16,1,53
17,1,1653
17,1,53
18,1,1653
18,1,53
19,1,1653
19,1,53
20,1,1653
20,1,53
21,1,1653
21,1,53
22,1,1653
22,1,53
23,1,1653
23,1,53
24,1,1653
24,1,53
25,1,1653
25,1,53
26,1,1653
26,1,53
27,1,1653
27,1,53
28,1,1653
28,1,53
29,1,1461
29,1,1652
29,1,1653
29,1,1654
29,1,49
29,1,50
29,1,51
29,1,52
29,1,53
29,1,54
30,1,1461
30,1,1654
30,1,54
31,1,1461
31,1,1654
31,1,54
32,1,1461
32,1,1654
32,1,54
33,1,1461
33,1,1654
33,1,54
34,1,1461
34,1,1654
34,1,54
35,1,1461
35,1,1654
35,1,54
36,1,1461
36,1,1654
36,1,54
37,1,1461
37,1,1654
37,1,54
38,1,1461
38,1,1654
38,1,54
39,1,1461
39,1,1654
39,1,54
40,1,1461
40,1,1654
40,1,54
41,1,1461
41,1,1654
41,1,54
42,1,1461
42,1,1654
43,1,1461
43,1,1654
44,1,1461
44,1,1654
45,1,1461
45,1,1462
45,1,1652
45,1,1653
45,1,1654
45,1,1655
45,1,49
45,1,50
45,1,51
45,1,52
45,1,53
45,1,54
45,1,55
46,1,1462
46,1,1655
46,1,55
47,1,1462
47,1,1655
47,1,55
48,1,1462
48,1,1655
48,1,55
49,1,1462
49,1,1655
49,1,55
50,1,1462
50,1,1655
50,1,55
51,1,1462
51,1,1655
51,1,55
52,1,1462
52,1,1655
52,1,55
53,1,1462
53,1,1655
53,1,55
54,1,1462
54,1,1655
54,1,55
55,1,1462
55,1,1655
55,1,55
56,1,1462
56,1,1655
56,1,55
57,1,1462
57,1,1655
57,1,55
58,1,1462
58,1,1655
59,1,1462
59,1,1655
60,1,1462
60,1,1655
61,1,1461
61,1,1462
61,1,1463
61,1,1652
61,1,1653
61,1,1654
61,1,1655
61,1,1656
61,1,49
61,1,50
61,1,51
61,1,52
61,1,53
61,1,54
61,1,55
61,1,56
62,1,1463
62,1,1656
62,1,56
63,1,1463
63,1,1656
63,1,56
64,1,1463
64,1,1656
64,1,56
65,1,1463
65,1,1656
65,1,56
66,1,1463
66,1,1656
66,1,56
67,1,1463
67,1,1656
67,1,56
68,1,1463
68,1,1656
68,1,56
69,1,1463
69,1,1656
69,1,56
70,1,1463
70,1,1656
70,1,56
71,1,1463
71,1,1656
71,1,56
72,1,1463
72,1,1656
72,1,56
73,1,1463
73,1,1656
73,1,56
74,1,1463
74,1,1656
75,1,1463
75,1,1656
76,1,1463
76,1,1656
77,1,1461
77,1,1462
77,1,1463
77,1,1464
77,1,1652
77,1,1653
77,1,1654
77,1,1655
77,1,1656
77,1,1657
77,1,49
77,1,50
77,1,51
77,1,52
77,1,53
77,1,54
77,1,55
77,1,56
77,1,57
78,1,1464
78,1,1657
78,1,57
79,1,1464
79,1,1657
79,1,57
80,1,1464
80,1,1657
80,1,57
81,1,1464
81,1,1657
81,1,57
82,1,1464
82,1,1657
82,1,57
83,1,1464
83,1,1657
83,1,57
84,1,1464
84,1,1657
84,1,57
85,1,1464
85,1,1657
85,1,57
86,1,1464
86,1,1657
86,1,57
87,1,1464
87,1,1657
87,1,57
88,1,1464
88,1,1657
88,1,57
89,1,1464
89,1,1657
89,1,57
90,1,1464
90,1,1657
91,1,1464
91,1,1657
92,1,1464
92,1,1657
93,1,1461
93,1,1462
93,1,1463
93,1,1464
93,1,1465
93,1,1652
93,1,1653
93,1,1654
93,1,1655
93,1,1656
93,1,1657
93,1,1658
93,1,49
93,1,50
93,1,51
93,1,52
93,1,53
93,1,54
93,1,55
93,1,56
93,1,57
93,1,58
94,1,1465
94,1,1658
94,1,58
95,1,1465
95,1,1658
95,1,58
96,1,1465
96,1,1658
96,1,58
97,1,1465
97,1,1658
97,1,58
98,1,1465
98,1,1658
98,1,58
99,1,1465
99,1,1658
99,1,58
100,1,1465
100,1,1658
100,1,58
101,1,1465
101,1,1658
101,1,58
102,1,1465
102,1,1658
102,1,58
103,1,1465
103,1,1658
103,1,58
104,1,1465
104,1,1658
104,1,58
105,1,1465
105,1,1658
105,1,58
106,1,1465
106,1,1658
107,1,1465
107,1,1658
108,1,1465
108,1,1658
109,1,1461
109,1,1462
109,1,1463
109,1,1464
109,1,1465
109,1,1466
109,1,1652
109,1,1653
109,1,1654
109,1,1655
109,1,1656
109,1,1657
109,1,1658
109,1,1659
109,1,49
109,1,50
109,1,51
109,1,52
109,1,53
109,1,54
109,1,55
109,1,56
109,1,57
109,1,58
109,1,59
110,1,1466
110,1,1659
110,1,59
111,1,1466
111,1,1659
111,1,59
112,1,1466
