PatternID,Pattern,Length,Occurrences
1,aaaaaaaaaaaaaaaaaaaaaaaa,24,2
2,aaaaaaaaaaaaaaaaaaaaaaa,23,3
3,aaaaaaaaaaaaaaaaaaaaaa,22,4
4,aaaaaaaaaaaaaaaaaaaaa,21,5
5,aaaaaaaaaaaaaaaaaaaa,20,6
6,aaaaaaaaaaaaaaaaaaa,19,7
7,aaaaaaaaaaaaaaaaaa,18,9
8,aaaaaaaaaaaaaaaaaab,19,2
9,aaaaaaaaaaaaaaaaaabb,20,2
10,aaaaaaaaaaaaaaaaaabbb,21,2
11,aaaaaaaaaaaaaaaaa,17,11
12,aaaaaaaaaaaaaaaaab,18,2
13,aaaaaaaaaaaaaaaaabb,19,2
14,aaaaaaaaaaaaaaaaabbb,20,2
15,aaaaaaaaaaaaaaaa,16,13
16,aaaaaaaaaaaaaaaab,17,2
17,aaaaaaaaaaaaaaaabb,18,2
18,aaaaaaaaaaaaaaaabbb,19,2
19,aaaaaaaaaaaaaaabbbb,19,2
20,aaaaaaaaaaaaaaabbbbb,20,2
21,aaaaaaaaaaaaaaabbbbbb,21,2
22,aaaaaaaaaaaaaaabbbbbbb,22,2
23,aaaaaaaaaaaaaaabbbbbbbb,23,2
24,aaaaaaaaaaaaaaa,15,16
25,aaaaaaaaaaaaaaab,16,3
26,aaaaaaaaaaaaaaabb,17,3
27,aaaaaaaaaaaaaaabbb,18,3
28,aaaaaaaaaaaaaabbbbb,19,2
29,aaaaaaaaaaaaaabbbbbb,20,2
30,aaaaaaaaaaaaaabbbbbbb,21,2
31,aaaaaaaaaaaaaabbbbbbbb,22,2
32,aaaaaaaaaaaaaabbbb,18,3
33,aaaaaaaaaaaaaa,14,20
34,aaaaaaaaaaaaaab,15,4
35,aaaaaaaaaaaaaabb,16,4
36,aaaaaaaaaaaaaabbb,17,4
37,aaaaaaaaaaaaabbbbb,18,2
38,aaaaaaaaaaaaabbbbbb,19,2
39,aaaaaaaaaaaaabbbbbbb,20,2
40,aaaaaaaaaaaaabbbbbbbb,21,2
41,aaaaaaaaaaaaabbbb,17,3
42,aaaaaaaaaaaaa,13,24
43,aaaaaaaaaaaaab,14,4
44,aaaaaaaaaaaaabb,15,4
45,aaaaaaaaaaaaabbb,16,4
46,aaaaaaaaaaaabbbbb,17,2
47,aaaaaaaaaaaabbbbbb,18,2
48,aaaaaaaaaaaabbbbbbb,19,2
49,aaaaaaaaaaaabbbbbbbb,20,2
50,aaaaaaaaaaaabbbb,16,3
51,aaaaaaaaaaaa,12,28
52,aaaaaaaaaaaab,13,4
53,aaaaaaaaaaaabb,14,4
54,aaaaaaaaaaaabbb,15,4
55,aaaaaaaaaaabbbbb,16,2
