PatternID,Pattern,Length,Occurrences
1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,34,2
2,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,33,3
3,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,32,5
4,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaab,33,2
5,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabb,34,2
6,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbb,35,2
7,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbb,36,2
8,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbb,37,2
9,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbb,38,2
10,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbb,39,2
11,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbb,40,2
12,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbb,41,2
13,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbb,42,2
14,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbb,43,2
15,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbb,44,2
16,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,31,7
17,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaab,32,2
18,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabb,33,2
19,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbb,34,2
20,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbb,35,2
21,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbb,36,2
22,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbb,37,2
23,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbb,38,2
24,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbb,39,2
25,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbb,40,2
26,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbb,41,2
27,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbb,42,2
28,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbb,43,2
29,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,30,10
30,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaab,31,3
31,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaabb,32,3
32,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbb,33,3
33,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbb,34,3
34,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbb,35,3
35,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbb,36,3
36,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbb,37,3
37,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbb,38,3
38,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbb,39,3
39,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbb,40,3
40,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbb,41,3
41,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbb,42,3
42,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbb,43,2
43,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbb,44,2
44,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbb,45,2
45,aaaaaaaaaaaaaaaaaaaaaaaaaaaaa,29,13
46,aaaaaaaaaaaaaaaaaaaaaaaaaaaaab,30,3
47,aaaaaaaaaaaaaaaaaaaaaaaaaaaaabb,31,3
48,aaaaaaaaaaaaaaaaaaaaaaaaaaaaabbb,32,3
49,aaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbb,33,3
50,aaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbb,34,3
51,aaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbb,35,3
52,aaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbb,36,3
53,aaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbb,37,3
54,aaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbb,38,3
55,aaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbb,39,3
56,aaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbb,40,3
57,aaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbb,41,3
58,aaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbb,42,2
59,aaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbb,43,2
60,aaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbb,44,2
61,aaaaaaaaaaaaaaaaaaaaaaaaaaaa,28,16
62,aaaaaaaaaaaaaaaaaaaaaaaaaaaab,29,3
